Entity,Code,Year,Official development assistance (ODA) and private grants by donor - Net disbursements,1012361-annotations
UNFPA,,1990,274916540,
UNFPA,,1991,251753140,
UNFPA,,1992,178084500,
UNFPA,,1993,191905980,
UNFPA,,1994,274980800,
UNFPA,,1995,280602200,
UNFPA,,1996,279774460,
UNFPA,,1997,298952960,
UNFPA,,1998,301050980,
UNFPA,,1999,256799440,
UNFPA,,2000,191750600,
UNFPA,,2001,474588060,
UNFPA,,2002,458190180,
UNFPA,,2003,355435100,
UNFPA,,2004,237724770,
UNFPA,,2005,237614600,
UNFPA,,2006,242437490,
UNFPA,,2007,230087060,
UNFPA,,2008,277414370,
UNFPA,,2009,365157700,
UNFPA,,2010,327056640,
UNFPA,,2011,308816260,
UNFPA,,2012,335430700,
UNFPA,,2013,352552100,
UNFPA,,2014,337526560,
UNFPA,,2015,344779620,
UNFPA,,2016,285821120,
UNFPA,,2017,233424590,
UNFPA,,2018,220199100,
UNFPA,,2019,441356300,
UNFPA,,2020,441843070,
UNFPA,,2021,320063070,
UNFPA,,2022,518807740,
UNFPA,,2023,476811780,
UNHCR,,1969,51149332,
UNHCR,,1970,51738116,
UNHCR,,1971,54905384,
UNHCR,,1972,124395600,
UNHCR,,1973,128904984,
UNHCR,,1974,161869360,
UNHCR,,1975,264803980,
UNHCR,,1976,346279840,
UNHCR,,1977,356998600,
UNHCR,,1978,370848830,
UNHCR,,1979,657864700,
UNHCR,,1980,1126463100,
UNHCR,,1981,1082023700,
UNHCR,,1982,931044600,
UNHCR,,1983,903201200,
UNHCR,,1984,1025350460,
UNHCR,,1985,1078788400,
UNHCR,,1986,820060740,
UNHCR,,1987,727342000,
UNHCR,,1988,811325950,
UNHCR,,1989,824169700,
UNHCR,,1990,716598800,
UNHCR,,1991,1160156800,
UNHCR,,1992,1446470500,
UNHCR,,1993,1804389400,
UNHCR,,1994,1430129800,
UNHCR,,1995,1073488500,
UNHCR,,1996,365706780,
UNHCR,,1997,361574100,
UNHCR,,1998,332434800,
UNHCR,,1999,351355650,
UNHCR,,2000,709151800,
UNHCR,,2001,830414700,
UNHCR,,2002,935805800,
UNHCR,,2003,701521800,
UNHCR,,2004,421081540,
UNHCR,,2005,265415040,
UNHCR,,2006,210170340,
UNHCR,,2007,273559260,
UNHCR,,2008,281839360,
UNHCR,,2009,317034880,
UNHCR,,2010,409274340,
UNHCR,,2011,434330660,
UNHCR,,2012,427673760,
UNHCR,,2013,416063170,
UNHCR,,2014,477832480,
UNHCR,,2015,507057820,
UNHCR,,2016,557382460,
UNHCR,,2017,566000300,
UNHCR,,2018,499151300,
UNHCR,,2019,708702900,
UNHCR,,2020,647180350,
UNHCR,,2021,579081700,
UNHCR,,2022,630252100,
UNHCR,,2023,765561000,
UNICEF,,1969,269914140,
UNICEF,,1970,330639940,
UNICEF,,1971,267365360,
UNICEF,,1972,312629440,
UNICEF,,1973,271555970,
UNICEF,,1974,447063580,
UNICEF,,1975,489673250,
UNICEF,,1976,376892060,
UNICEF,,1977,439848740,
UNICEF,,1978,504042720,
UNICEF,,1979,552736700,
UNICEF,,1980,598156160,
UNICEF,,1981,530582530,
UNICEF,,1982,520206600,
UNICEF,,1983,625293100,
UNICEF,,1984,631569600,
UNICEF,,1985,718848100,
UNICEF,,1986,691129800,
UNICEF,,1987,667446700,
UNICEF,,1988,680275800,
UNICEF,,1989,843853400,
UNICEF,,1990,898891600,
UNICEF,,1991,868033340,
UNICEF,,1992,1039382340,
UNICEF,,1993,1144396300,
UNICEF,,1994,1089657200,
UNICEF,,1995,1001657540,
UNICEF,,1996,881040400,
UNICEF,,1997,711377400,
UNICEF,,1998,681971460,
UNICEF,,1999,784221950,
UNICEF,,2000,829848960,
UNICEF,,2001,915285700,
UNICEF,,2002,837393300,
UNICEF,,2003,826293700,
UNICEF,,2004,789690400,
UNICEF,,2005,839398400,
UNICEF,,2006,840761300,
UNICEF,,2007,1043057000,
UNICEF,,2008,998799300,
UNICEF,,2009,1144807800,
UNICEF,,2010,1090296400,
UNICEF,,2011,1071990000,
UNICEF,,2012,1150405100,
UNICEF,,2013,1225907500,
UNICEF,,2014,1289183900,
UNICEF,,2015,1535517200,
UNICEF,,2016,1595621100,
UNICEF,,2017,1646800400,
UNICEF,,2018,1553197800,
UNICEF,,2019,1070888200,
UNICEF,,2020,993294140,
UNICEF,,2021,866368960,
UNICEF,,2022,897573000,
UNICEF,,2023,860432830,
UNRWA,,1969,291331680,
UNRWA,,1970,313502940,
UNRWA,,1971,251328340,
UNRWA,,1972,247011710,
UNRWA,,1973,258338660,
UNRWA,,1974,336324670,
UNRWA,,1975,378589100,
UNRWA,,1976,374058300,
UNRWA,,1977,412874270,
UNRWA,,1978,329630050,
UNRWA,,1979,357855680,
UNRWA,,1980,380580900,
UNRWA,,1981,421607230,
UNRWA,,1982,597087600,
UNRWA,,1983,535798660,
UNRWA,,1984,494501120,
UNRWA,,1985,483524500,
UNRWA,,1986,395485630,
UNRWA,,1987,379458900,
UNRWA,,1988,393031230,
UNRWA,,1989,446223940,
UNRWA,,1990,450176770,
UNRWA,,1991,454637060,
UNRWA,,1992,428854850,
UNRWA,,1993,429161120,
UNRWA,,1994,450022000,
UNRWA,,1995,425020670,
UNRWA,,1996,308101920,
UNRWA,,1997,364925380,
UNRWA,,1998,420143260,
UNRWA,,1999,397341700,
UNRWA,,2000,433058560,
UNRWA,,2001,547872500,
UNRWA,,2002,579366800,
UNRWA,,2003,564657400,
UNRWA,,2004,545234940,
UNRWA,,2005,413475360,
UNRWA,,2006,424531070,
UNRWA,,2007,412970180,
UNRWA,,2008,480243330,
UNRWA,,2009,498333200,
UNRWA,,2010,568173600,
UNRWA,,2011,598284740,
UNRWA,,2012,673457540,
UNRWA,,2013,536879100,
UNRWA,,2014,676913700,
UNRWA,,2015,848955970,
UNRWA,,2016,793823360,
UNRWA,,2017,968974900,
UNRWA,,2018,790264770,
UNRWA,,2019,810384200,
UNRWA,,2020,796186560,
UNRWA,,2021,705503700,
UNRWA,,2022,851476030,
UNRWA,,2023,1399713700,
UNTA,,1969,260203090,
UNTA,,1970,346403400,
UNTA,,1971,269262850,
UNTA,,1972,268142850,
UNTA,,1973,233634270,
UNTA,,1974,307044830,
UNTA,,1975,265575680,
UNTA,,1976,287814560,
UNTA,,1977,325035230,
UNTA,,1978,343319520,
UNTA,,1979,305843620,
UNTA,,1980,84692104,
UNTA,,1981,519410050,
UNTA,,1982,497233860,
UNTA,,1983,643735700,
UNTA,,1984,561768600,
UNTA,,1985,762253630,
UNTA,,1986,537901100,
UNTA,,1987,574896200,
UNTA,,1988,456956030,
UNTA,,1989,410460000,
UNTA,,1990,354598460,
UNTA,,1991,417498240,
UNTA,,1992,330506140,
UNTA,,1993,488102180,
UNTA,,1994,374400900,
UNTA,,1995,702963400,
UNTA,,1996,338082000,
UNTA,,1997,601395700,
UNTA,,1998,397683900,
UNTA,,1999,595206800,
UNTA,,2000,654324800,
UNTA,,2001,625745800,
UNTA,,2002,688622200,
UNTA,,2003,661266050,
UNTA,,2004,527059620,
UNTA,,2005,684854400,
UNTA,,2006,423206560,
UNTA,,2007,490824700,
UNTA,,2008,654888300,
United Arab Emirates,ARE,1970,3335833,
United Arab Emirates,ARE,1971,609162100,
United Arab Emirates,ARE,1972,627038340,
United Arab Emirates,ARE,1973,3070649300,
United Arab Emirates,ARE,1974,4680489500,
United Arab Emirates,ARE,1975,7707906600,
United Arab Emirates,ARE,1976,8820534000,
United Arab Emirates,ARE,1977,6331495400,
United Arab Emirates,ARE,1978,5262588000,
United Arab Emirates,ARE,1979,4724872700,
United Arab Emirates,ARE,1980,5397108000,
United Arab Emirates,ARE,1981,4111333400,
United Arab Emirates,ARE,1982,2598921500,
United Arab Emirates,ARE,1983,1542237300,
United Arab Emirates,ARE,1984,834819650,
United Arab Emirates,ARE,1985,943281800,
United Arab Emirates,ARE,1986,597670300,
United Arab Emirates,ARE,1987,606380540,
United Arab Emirates,ARE,1988,172741700,
United Arab Emirates,ARE,1989,541409150,
United Arab Emirates,ARE,1990,3807236000,
United Arab Emirates,ARE,1991,2277051400,
United Arab Emirates,ARE,1992,811513700,
United Arab Emirates,ARE,1993,863627140,
United Arab Emirates,ARE,1994,496389800,
United Arab Emirates,ARE,1995,295876060,
United Arab Emirates,ARE,1996,396662700,
United Arab Emirates,ARE,1997,847545860,
United Arab Emirates,ARE,1998,1324776400,
United Arab Emirates,ARE,1999,816120450,
United Arab Emirates,ARE,2000,574819840,
United Arab Emirates,ARE,2001,742738700,
United Arab Emirates,ARE,2002,824378940,
United Arab Emirates,ARE,2003,1216207400,
United Arab Emirates,ARE,2004,588960100,
United Arab Emirates,ARE,2005,602102660,
United Arab Emirates,ARE,2006,893660740,
United Arab Emirates,ARE,2007,2578767400,
United Arab Emirates,ARE,2008,1284617100,
United Arab Emirates,ARE,2009,997688700,
United Arab Emirates,ARE,2010,431439520,
United Arab Emirates,ARE,2011,706399900,
United Arab Emirates,ARE,2012,766104260,
United Arab Emirates,ARE,2013,5384236500,
United Arab Emirates,ARE,2014,5056566000,
United Arab Emirates,ARE,2015,4821998000,
United Arab Emirates,ARE,2016,4698579500,
United Arab Emirates,ARE,2017,4293791500,
United Arab Emirates,ARE,2018,4283595300,
United Arab Emirates,ARE,2019,2637486300,
United Arab Emirates,ARE,2020,1821177900,
United Arab Emirates,ARE,2021,1259115600,
United Arab Emirates,ARE,2022,1560291000,
United Arab Emirates,ARE,2023,1877551900,
United Kingdom,GBR,1960,4306214400,
United Kingdom,GBR,1961,4668389400,
United Kingdom,GBR,1962,4144592000,
United Kingdom,GBR,1963,4031423000,
United Kingdom,GBR,1964,4645243400,
United Kingdom,GBR,1965,4190053000,
United Kingdom,GBR,1966,4100580600,
United Kingdom,GBR,1967,4078011400,
United Kingdom,GBR,1968,3824157400,
United Kingdom,GBR,1969,4116387600,
United Kingdom,GBR,1970,3780852700,
United Kingdom,GBR,1971,4420589600,
United Kingdom,GBR,1972,4346904000,
United Kingdom,GBR,1973,3926527000,
United Kingdom,GBR,1974,4293503500,
United Kingdom,GBR,1975,4134592800,
United Kingdom,GBR,1976,4315677000,
United Kingdom,GBR,1977,4915758000,
United Kingdom,GBR,1978,5256785400,
United Kingdom,GBR,1979,6121662500,
United Kingdom,GBR,1980,3992979000,
United Kingdom,GBR,1981,4858120700,
United Kingdom,GBR,1982,4251010300,
United Kingdom,GBR,1983,4150786600,
United Kingdom,GBR,1984,3989441300,
United Kingdom,GBR,1985,4199541500,
United Kingdom,GBR,1986,3996165400,
United Kingdom,GBR,1987,3656920800,
United Kingdom,GBR,1988,4476631600,
United Kingdom,GBR,1989,4408208000,
United Kingdom,GBR,1990,3814511400,
United Kingdom,GBR,1991,4366349300,
United Kingdom,GBR,1992,4304360400,
United Kingdom,GBR,1993,4398683600,
United Kingdom,GBR,1994,4638230500,
United Kingdom,GBR,1995,4390926000,
United Kingdom,GBR,1996,4259652400,
United Kingdom,GBR,1997,4362107400,
United Kingdom,GBR,1998,4792530400,
United Kingdom,GBR,1999,4293272800,
United Kingdom,GBR,2000,5959965000,
United Kingdom,GBR,2001,6260142600,
United Kingdom,GBR,2002,6352171500,
United Kingdom,GBR,2003,7241379000,
United Kingdom,GBR,2004,7937748000,
United Kingdom,GBR,2005,10593011000,
United Kingdom,GBR,2006,11774963000,
United Kingdom,GBR,2007,8370720000,
United Kingdom,GBR,2008,10455145000,
United Kingdom,GBR,2009,11661022000,
United Kingdom,GBR,2010,13431865000,
United Kingdom,GBR,2011,13419117000,
United Kingdom,GBR,2012,13427515000,
United Kingdom,GBR,2013,17144219000,
United Kingdom,GBR,2014,17320870000,
United Kingdom,GBR,2015,17857692000,
United Kingdom,GBR,2016,19293790000,
United Kingdom,GBR,2017,19896742000,
United Kingdom,GBR,2018,20257532000,
United Kingdom,GBR,2019,20623350000,
United Kingdom,GBR,2020,19435944000,
United Kingdom,GBR,2021,15339913000,
United Kingdom,GBR,2022,15761320000,
United Kingdom,GBR,2023,17209400000,
United Nations,,1960,918454900,
United Nations,,1961,1239131600,
United Nations,,1962,1291715200,
United Nations,,1963,1583445400,
United Nations,,1964,1626276400,
United Nations,,1965,1427271000,
United Nations,,1966,1783916700,
United Nations,,1967,1620189600,
United Nations,,1968,1623184400,
United Nations,,1969,2432819500,
United Nations,,1970,3053791700,
United Nations,,1971,3180288800,
United Nations,,1972,3132466700,
United Nations,,1973,3018693400,
United Nations,,1974,3406248700,
United Nations,,1975,4532612000,
United Nations,,1976,3788086000,
United Nations,,1977,4139098600,
United Nations,,1978,4045911000,
United Nations,,1979,5021911600,
United Nations,,1980,5591667700,
United Nations,,1981,6358270500,
United Nations,,1982,6428601300,
United Nations,,1983,6550882300,
United Nations,,1984,6758001000,
United Nations,,1985,7718199000,
United Nations,,1986,6272092700,
United Nations,,1987,5968364500,
United Nations,,1988,5785970000,
United Nations,,1989,5912076000,
United Nations,,1990,5910482000,
United Nations,,1991,6673597400,
United Nations,,1992,6857879600,
United Nations,,1993,7290391600,
United Nations,,1994,6381492700,
United Nations,,1995,5536199000,
United Nations,,1996,3576236000,
United Nations,,1997,3803078700,
United Nations,,1998,3555737000,
United Nations,,1999,3765229600,
United Nations,,2000,4099874600,
United Nations,,2001,4655155000,
United Nations,,2002,4642394000,
United Nations,,2003,4120636200,
United Nations,,2004,3481993000,
United Nations,,2005,3946445600,
United Nations,,2006,3728796700,
United Nations,,2007,3799923500,
United Nations,,2008,4203222800,
United Nations,,2009,4381333500,
United Nations,,2010,4367441400,
United Nations,,2011,4451500500,
United Nations,,2012,4912984600,
United Nations,,2013,5390458400,
United Nations,,2014,4944372000,
United Nations,,2015,5974444000,
United Nations,,2016,5773563000,
United Nations,,2017,6755979000,
United Nations,,2018,6131119600,
United Nations,,2019,6763585500,
United Nations,,2020,6504029700,
United Nations,,2021,6344313300,
United Nations,,2022,7213552000,
United Nations,,2023,7319019000,
United Nations Conference on Trade and Development (UNCTAD),,2020,2422845,
United Nations Conference on Trade and Development (UNCTAD),,2021,1743511,
United Nations Conference on Trade and Development (UNCTAD),,2022,4793088,
United Nations Conference on Trade and Development (UNCTAD),,2023,3492347,
United Nations Industrial Development Organization (UNIDO),,2020,3757596,
United Nations Industrial Development Organization (UNIDO),,2021,4250651,
United Nations Industrial Development Organization (UNIDO),,2022,5321372,
United Nations Industrial Development Organization (UNIDO),,2023,5935209,
United States,USA,1960,21011476000,
United States,USA,1961,22796593000,
United States,USA,1962,24689527000,
United States,USA,1963,26346123000,
United States,USA,1964,26106448000,
United States,USA,1965,28632840000,
United States,USA,1966,26447696000,
United States,USA,1967,22177898000,
United States,USA,1968,24765995000,
United States,USA,1969,20769087000,
United States,USA,1970,18424600000,
United States,USA,1971,17308795000,
United States,USA,1972,21102074000,
United States,USA,1973,13420424000,
United States,USA,1974,17033159000,
United States,USA,1975,17657524000,
United States,USA,1976,17538087000,
United States,USA,1977,17731564000,
United States,USA,1978,20038275000,
United States,USA,1979,15303053000,
United States,USA,1980,21388388000,
United States,USA,1981,15827624000,
United States,USA,1982,21145657000,
United States,USA,1983,20048437000,
United States,USA,1984,20858851000,
United States,USA,1985,21825630000,
United States,USA,1986,21761090000,
United States,USA,1987,20238098000,
United States,USA,1988,21748945000,
United States,USA,1989,15843338000,
United States,USA,1990,22665802000,
United States,USA,1991,21670367000,
United States,USA,1992,22028490000,
United States,USA,1993,18603735000,
United States,USA,1994,17862134000,
United States,USA,1995,12983579000,
United States,USA,1996,16228884000,
United States,USA,1997,11702040000,
United States,USA,1998,14782093000,
United States,USA,1999,15171873000,
United States,USA,2000,16149228000,
United States,USA,2001,18132860000,
United States,USA,2002,20762280000,
United States,USA,2003,25001404000,
United States,USA,2004,29397280000,
United States,USA,2005,40408183000,
United States,USA,2006,33021403000,
United States,USA,2007,29765968000,
United States,USA,2008,35436030000,
United States,USA,2009,38408815000,
United States,USA,2010,39033532000,
United States,USA,2011,39933678000,
United States,USA,2012,38806323000,
United States,USA,2013,38921610000,
United States,USA,2014,40492970000,
United States,USA,2015,37562794000,
United States,USA,2016,41334657000,
United States,USA,2017,40974356000,
United States,USA,2018,38966936000,
United States,USA,2019,37409042000,
United States,USA,2020,39625780000,
United States,USA,2021,50874634000,
United States,USA,2022,60328680000,
United States,USA,2023,62233326000,
Van Leer Foundation,,2017,15480622,
Van Leer Foundation,,2018,14565260,
Van Leer Foundation,,2019,14842687,
Van Leer Foundation,,2020,14309664,
Van Leer Foundation,,2021,13203946,
Van Leer Foundation,,2022,11458547,
WFP,,1969,430279650,
WFP,,1970,702879700,
WFP,,1971,875670500,
WFP,,1972,696604160,
WFP,,1973,871863000,
WFP,,1974,964573600,
WFP,,1975,1596000600,
WFP,,1976,1071278800,
WFP,,1977,1258715900,
WFP,,1978,1237256000,
WFP,,1979,1383615900,
WFP,,1980,1307537500,
WFP,,1981,1343301800,
WFP,,1982,1512918800,
WFP,,1983,1599571800,
WFP,,1984,1755856400,
WFP,,1985,2010973700,
WFP,,1986,1375114500,
WFP,,1987,1316452900,
WFP,,1988,1495415000,
WFP,,1989,1282214000,
WFP,,1990,1435244300,
WFP,,1991,1969508600,
WFP,,1992,2207793700,
WFP,,1993,2132959500,
WFP,,1994,1905686900,
WFP,,1995,1333302800,
WFP,,1996,482777180,
WFP,,1997,385919100,
WFP,,1998,380018140,
WFP,,1999,492092450,
WFP,,2000,513312200,
WFP,,2001,578073540,
WFP,,2002,517929100,
WFP,,2003,418352770,
WFP,,2004,306914850,
WFP,,2005,654880960,
WFP,,2006,540617400,
WFP,,2007,247458930,
WFP,,2008,321024860,
WFP,,2009,306010720,
WFP,,2010,253836400,
WFP,,2011,331559200,
WFP,,2012,357646940,
WFP,,2013,362513500,
WFP,,2014,307155870,
WFP,,2015,315186850,
WFP,,2016,339399780,
WFP,,2017,309886430,
WFP,,2018,193246380,
WFP,,2019,322433800,
WFP,,2020,330994300,
WFP,,2021,333401570,
WFP,,2022,365873700,
WFP,,2023,410389700,
WHO Strategic Preparedness and Response Plan,,2021,155150510,
WHO Strategic Preparedness and Response Plan,,2022,59005628,
WHO Strategic Preparedness and Response Plan,,2023,24133796,
WTO - International Trade Centre,,2020,53101656,
WTO - International Trade Centre,,2021,50712900,
WTO - International Trade Centre,,2022,50403748,
WTO - International Trade Centre,,2023,38988170,
Wellcome Trust,,2017,279594300,
Wellcome Trust,,2018,286751700,
Wellcome Trust,,2019,348541300,
Wellcome Trust,,2020,536713020,
Wellcome Trust,,2021,480443700,
Wellcome Trust,,2022,396433150,
William and Flora Hewlett Foundation,,2017,218438450,
William and Flora Hewlett Foundation,,2018,241068320,
William and Flora Hewlett Foundation,,2019,139909940,
William and Flora Hewlett Foundation,,2020,179617220,
William and Flora Hewlett Foundation,,2021,196845120,
William and Flora Hewlett Foundation,,2022,197538240,
World Bank Group,,1960,-230246260,
World Bank Group,,1961,-335725300,
World Bank Group,,1962,-256109070,
World Bank Group,,1963,294645250,
World Bank Group,,1964,748396540,
World Bank Group,,1965,2009192700,
World Bank Group,,1966,1967117200,
World Bank Group,,1967,2610178800,
World Bank Group,,1968,900987600,
World Bank Group,,1969,1661521900,
World Bank Group,,1970,1064784900,
World Bank Group,,1971,1760338800,
World Bank Group,,1972,1649562400,
World Bank Group,,1973,2977791700,
World Bank Group,,1974,3938092800,
World Bank Group,,1975,4190176800,
World Bank Group,,1976,4945347000,
World Bank Group,,1977,4025937000,
World Bank Group,,1978,3257548800,
World Bank Group,,1979,3638874000,
World Bank Group,,1980,4000804400,
World Bank Group,,1981,4969733600,
World Bank Group,,1982,6159874000,
World Bank Group,,1983,6053645300,
World Bank Group,,1984,6547072500,
World Bank Group,,1985,6793807000,
World Bank Group,,1986,7061432000,
World Bank Group,,1987,6458943000,
World Bank Group,,1988,6072431600,
World Bank Group,,1989,5499292000,
World Bank Group,,1990,6020002300,
World Bank Group,,1991,6378671000,
World Bank Group,,1992,6758101000,
World Bank Group,,1993,6408398300,
World Bank Group,,1994,7667502600,
World Bank Group,,1995,6011494400,
World Bank Group,,1996,7446729700,
World Bank Group,,1997,7274370000,
World Bank Group,,1998,6798073000,
World Bank Group,,1999,6264286700,
World Bank Group,,2000,5636298000,
World Bank Group,,2001,7532336000,
World Bank Group,,2002,9104744000,
World Bank Group,,2003,7231451600,
World Bank Group,,2004,9176125000,
World Bank Group,,2005,8038790000,
World Bank Group,,2006,7184121300,
World Bank Group,,2007,8892405000,
World Bank Group,,2008,6400709600,
World Bank Group,,2009,9744732000,
World Bank Group,,2011,6937798000,
World Bank Group,,2012,6984443400,
World Bank Group,,2013,8145444400,
World Bank Group,,2014,10214014000,
World Bank Group,,2015,11066231000,
World Bank Group,,2016,8979491000,
World Bank Group,,2017,10323439000,
World Bank Group,,2018,11338962000,
World Bank Group,,2019,13421661000,
World Bank Group,,2020,15929776000,
World Bank Group,,2021,13156535000,
World Bank Group,,2022,16319697000,
World Bank Group,,2023,17238182000,
World Diabetes Foundation,,2016,15033114,
World Diabetes Foundation,,2017,15938337,
World Diabetes Foundation,,2018,11648781,
World Diabetes Foundation,,2019,17985296,
World Diabetes Foundation,,2020,26107082,
World Diabetes Foundation,,2021,25293054,
World Diabetes Foundation,,2022,10627608,
World Health Organization (WHO),,2009,460349300,
World Health Organization (WHO),,2010,381833660,
World Health Organization (WHO),,2011,445077220,
World Health Organization (WHO),,2012,400669700,
World Health Organization (WHO),,2013,472165250,
World Health Organization (WHO),,2014,468766900,
World Health Organization (WHO),,2015,730736830,
World Health Organization (WHO),,2016,591995000,
World Health Organization (WHO),,2017,575531970,
World Health Organization (WHO),,2018,540323600,
World Health Organization (WHO),,2019,580287500,
World Health Organization (WHO),,2020,282747520,
World Health Organization (WHO),,2021,591644900,
World Health Organization (WHO),,2022,465704350,
World Health Organization (WHO),,2023,607154400,
World Organization for Animal Health,,2021,11094761,
World Organization for Animal Health,,2022,11219113,
World Organization for Animal Health,,2023,15460404,
World Tourism Organization (UNWTO),,2016,14403708,
World Tourism Organization (UNWTO),,2017,13780302,
World Tourism Organization (UNWTO),,2018,10150670,
World Tourism Organization (UNWTO),,2019,8803428,
World Tourism Organization (UNWTO),,2020,8255027,
World Tourism Organization (UNWTO),,2021,12959818,
World Tourism Organization (UNWTO),,2022,12494374,
World Tourism Organization (UNWTO),,2023,13543084,
